Kanji,Kana,English,In Both,In Tanos,In Current,Category
"鳥","とり","bird",YES,YES,YES,BOTH
"とり肉","とりにく","chicken meat",YES,YES,YES,BOTH
"取る","とる","to take something",YES,YES,YES,BOTH
"撮る","とる","to take a photo or record a film",YES,YES,YES,BOTH
"","どうぞ","please",YES,YES,YES,BOTH
"動物","どうぶつ","animal",YES,YES,YES,BOTH
"","どうも","thanks",YES,YES,YES,BOTH
"","どこ","where",YES,YES,YES,BOTH
"","どっち","which",YES,YES,YES,BOTH
"","どなた","who",YES,YES,YES,BOTH
"","どの","which",YES,YES,YES,BOTH
"土曜日","どようび","Saturday",YES,YES,YES,BOTH
"中","なか","middle",YES,YES,YES,BOTH
"長い","ながい","long",YES,YES,YES,BOTH
"鳴く","なく","animal noise. to chirp, roar or croak etc.",YES,YES,YES,BOTH
"無くす","なくす","to lose something",YES,YES,YES,BOTH
"","なぜ","why",YES,YES,YES,BOTH
"夏","なつ","summer",YES,YES,YES,BOTH
"夏休み","なつやすみ","summer holiday",YES,YES,YES,BOTH
"七つ","ななつ","seven",YES,YES,YES,BOTH
"七日","なのか","seven days,the seventh day",YES,YES,YES,BOTH
"名前","なまえ","name",YES,YES,YES,BOTH
"習う","ならう","to learn",YES,YES,YES,BOTH
"並ぶ","ならぶ","to line up,to stand in a line",YES,YES,YES,BOTH
"並べる","ならべる","to line up,to set up",YES,YES,YES,BOTH
"二","に","two",YES,YES,YES,BOTH
"賑やか","にぎやか","bustling,busy",YES,YES,YES,BOTH
"肉","にく","meat",YES,YES,YES,BOTH
"西","にし","west",YES,YES,YES,BOTH
"日曜日","にちようび","Sunday",YES,YES,YES,BOTH
"荷物","にもつ","luggage",YES,YES,YES,BOTH
"庭","にわ","garden",YES,YES,YES,BOTH
"脱ぐ","ぬぐ","to take off clothes",YES,YES,YES,BOTH
"温い","ぬるい","luke warm",YES,YES,YES,BOTH
"猫","ねこ","cat",YES,YES,YES,BOTH
"寝る","ねる","to go to bed,to sleep",YES,YES,YES,BOTH
"登る","のぼる","to climb",YES,YES,YES,BOTH
"飲み物","のみもの","a drink",YES,YES,YES,BOTH
"飲む","のむ","to drink",YES,YES,YES,BOTH
"乗る","のる","to get on,to ride",YES,YES,YES,BOTH
"歯","は","tooth",YES,YES,YES,BOTH
"","はい","yes",YES,YES,YES,BOTH
"灰皿","はいざら","ashtray",YES,YES,YES,BOTH
"入る","はいる","to enter,to contain",YES,YES,YES,BOTH
"葉書","はがき","postcard",YES,YES,YES,BOTH
"箱","はこ","box",YES,YES,YES,BOTH
"橋","はし","bridge",YES,YES,YES,BOTH
"","はし","chopsticks",YES,YES,YES,BOTH
"走る","はしる","to run",YES,YES,YES,BOTH
"始まる","はじまる","to begin",YES,YES,YES,BOTH
"初め/始め","はじめ","beginning",YES,YES,YES,BOTH
"初めて","はじめて","for the first time",YES,YES,YES,BOTH
"二十歳","はたち","20 years old,20th year",YES,YES,YES,BOTH
"働く","はたらく","to work",YES,YES,YES,BOTH
"八","はち","eight",YES,YES,YES,BOTH
"二十日","はつか","twenty days,twentieth",YES,YES,YES,BOTH
"花","はな","flower",YES,YES,YES,BOTH
"鼻","はな","nose",YES,YES,YES,BOTH
"話","はなし","talk,story",YES,YES,YES,BOTH
"話す","はなす","to speak",YES,YES,YES,BOTH
"早い","はやい","early",YES,YES,YES,BOTH
"速い","はやい","quick",YES,YES,YES,BOTH
"春","はる","spring",YES,YES,YES,BOTH
"貼る","はる","to stick",YES,YES,YES,BOTH
"晴れ","はれ","clear weather",YES,YES,YES,BOTH
"晴れる","はれる","to be sunny",YES,YES,YES,BOTH
"半","はん","half",YES,YES,YES,BOTH
"半分","はんぶん","half minute",YES,YES,YES,BOTH
"晩","ばん","evening",YES,YES,YES,BOTH
"番号","ばんごう","number",YES,YES,YES,BOTH
"晩御飯","ばんごはん","evening meal",YES,YES,YES,BOTH
"東","ひがし","east",YES,YES,YES,BOTH
"引く","ひく","to pull",YES,YES,YES,BOTH
"低い","ひくい","short,low",YES,YES,YES,BOTH
"飛行機","ひこうき","aeroplane",YES,YES,YES,BOTH
"左","ひだり","left hand side",YES,YES,YES,BOTH
"人","ひと","person",YES,YES,YES,BOTH
"一つ","ひとつ","one",YES,YES,YES,BOTH
"一月","ひとつき","one month",YES,YES,YES,BOTH
"一人","ひとり","one person",YES,YES,YES,BOTH
"暇","ひま","free time",YES,YES,YES,BOTH
"百","ひゃく","hundred",YES,YES,YES,BOTH
"昼","ひる","noon, daytime",YES,YES,YES,BOTH
"昼御飯","ひるごはん","midday meal",YES,YES,YES,BOTH
"広い","ひろい","spacious,wide",YES,YES,YES,BOTH
"病院","びょういん","hospital",YES,YES,YES,BOTH
"病気","びょうき","illness",YES,YES,YES,BOTH
"封筒","ふうとう","envelope",YES,YES,YES,BOTH
"吹く","ふく","to blow",YES,YES,YES,BOTH
"服","ふく","clothes",YES,YES,YES,BOTH
"二つ","ふたつ","two",YES,YES,YES,BOTH
"二人","ふたり","two people",YES,YES,YES,BOTH
