Word	Has_Kanji	In_Current_1147	In_Complete_1426	In_Tanos_658	Category
こっち	No	YES	YES	YES	Current+Complete+Tanos
ことし	No	YES	YES	YES	Current+Complete+Tanos
ことば	No	YES	YES	YES	Current+Complete+Tanos
こども	No	YES	YES	YES	Current+Complete+Tanos
この	No	YES	YES	YES	Current+Complete+Tanos
こまります	No	NO	YES	NO	Complete
こまる	No	YES	YES	YES	Current+Complete+Tanos
これ	No	YES	YES	YES	Current+Complete+Tanos
こんげつ	No	YES	YES	YES	Current+Complete+Tanos
こんしゅう	No	YES	YES	YES	Current+Complete+Tanos
こんな	No	YES	YES	YES	Current+Complete+Tanos
こんにちは	No	NO	YES	NO	Complete
こんばん	No	YES	YES	YES	Current+Complete+Tanos
こんばんは	No	NO	YES	NO	Complete
ご	No	YES	YES	YES	Current+Complete+Tanos
ごご	No	YES	YES	YES	Current+Complete+Tanos
ごしゅじん	No	NO	YES	NO	Complete
ごぜん	No	YES	YES	YES	Current+Complete+Tanos
ごちそうさまでした	No	NO	YES	NO	Complete
ごはん	No	YES	YES	YES	Current+Complete+Tanos
ごめんください	No	NO	YES	NO	Complete
ごめんなさい	No	NO	YES	NO	Complete
ごろ	No	NO	YES	NO	Complete
さあ	No	YES	YES	YES	Current+Complete+Tanos
さい	No	NO	YES	NO	Complete
さいご	No	NO	YES	NO	Complete
さいふ	No	YES	YES	YES	Current+Complete+Tanos
さかな	No	YES	YES	YES	Current+Complete+Tanos
さき	No	YES	YES	YES	Current+Complete+Tanos
さきます	No	NO	YES	NO	Complete
さく	No	YES	YES	YES	Current+Complete+Tanos
さくぶん	No	YES	YES	YES	Current+Complete+Tanos
さします	No	NO	YES	NO	Complete
さす	No	YES	YES	YES	Current+Complete+Tanos
さつ	No	NO	YES	NO	Complete
さとう	No	YES	YES	YES	Current+Complete+Tanos
さむい	No	YES	YES	YES	Current+Complete+Tanos
さようなら	No	NO	YES	NO	Complete
さらいねん	No	YES	YES	YES	Current+Complete+Tanos
さん	No	YES	YES	YES	Current+Complete+Tanos
さんぽ	No	NO	YES	NO	Complete
さんぽする	No	YES	YES	YES	Current+Complete+Tanos
さ来年	Yes	YES	YES	YES	Current+Complete+Tanos
ざっし	No	YES	YES	YES	Current+Complete+Tanos
し	No	NO	YES	YES	Complete+Tanos
し/よん	No	YES	YES	NO	Current+Complete
しお	No	YES	YES	YES	Current+Complete+Tanos
しかし	No	YES	YES	YES	Current+Complete+Tanos
しごと	No	YES	YES	YES	Current+Complete+Tanos
しずか	No	YES	YES	YES	Current+Complete+Tanos
した	No	YES	YES	YES	Current+Complete+Tanos
しち	No	NO	NO	YES	Tanos
しち/なな	No	YES	YES	NO	Current+Complete
しつもん	No	YES	YES	YES	Current+Complete+Tanos
しつれいしました	No	NO	YES	NO	Complete
しつれいします	No	NO	YES	NO	Complete
しにます	No	NO	YES	NO	Complete
しぬ	No	YES	YES	YES	Current+Complete+Tanos
