Kanji,Kana,English,In_Current_1147,In_Complete_1426,In_Tanos_658,Category
"宿題","しゅくだい","homework",YES,YES,YES,ALL
"上手","じょうず","Skillful",YES,YES,YES,ALL
"丈夫","じょうぶ","strong, durable",YES,YES,YES,ALL
"(none)","しょうゆ","soy sauce",YES,YES,YES,ALL
"食堂","しょくどう","dining hall",YES,YES,YES,ALL
"知る","しる","to know",YES,YES,YES,ALL
"白","しろ","White",YES,YES,YES,ALL
"白い","しろい","White",YES,YES,YES,ALL
"新聞","しんぶん","newspaper",YES,YES,YES,ALL
"水曜日","すいようび","Wednesday",YES,YES,YES,ALL
"吸う","すう","to smoke, to suck",YES,YES,YES,ALL
"(none)","スカート","Skirt",YES,YES,YES,ALL
"好き","すき","Likeable",YES,YES,YES,ALL
"少ない","すくない","a few",YES,YES,YES,ALL
"(none)","すぐに","Instantly",YES,YES,YES,ALL
"少し","すこし","Few",YES,YES,YES,ALL
"涼しい","すずしい","Refreshing",YES,YES,YES,ALL
"(none)","ストーブ","Heater",YES,YES,YES,ALL
"(none)","スプーン","Spoon",YES,YES,YES,ALL
"(none)","スポーツ","Sport",YES,YES,YES,ALL
"(none)","ズボン","Trousers",YES,YES,YES,ALL
"住む","すむ","to live in",YES,YES,YES,ALL
"(none)","スリッパ","Slippers",YES,YES,YES,ALL
"(none)","する","to do",YES,YES,YES,ALL
"座る","すわる","to sit",YES,YES,YES,ALL
"背","せ","height, stature",YES,YES,YES,ALL
"生徒","せいと","Pupil",YES,YES,YES,ALL
"(none)","セーター","sweater, jumper",YES,YES,YES,ALL
"(none)","せっけん","Economy",YES,YES,YES,ALL
"背広","せびろ","business suit",YES,YES,YES,ALL
"狭い","せまい","Narrow",YES,YES,YES,ALL
"(none)","ゼロ","Zero",YES,YES,YES,ALL
"千","せん","Thousand",YES,YES,YES,ALL
"先月","せんげつ","last month",YES,YES,YES,ALL
"先週","せんしゅう","last week",YES,YES,YES,ALL
"先生","せんせい","teacher, doctor",YES,YES,YES,ALL
"洗濯","せんたく","Washing",YES,YES,YES,ALL
"全部","ぜんぶ","All",YES,YES,YES,ALL
"掃除","そうじする","to clean, to sweep",YES,YES,YES,ALL
"(none)","そこ","that place",YES,YES,YES,ALL
"(none)","そちら","over there",YES,YES,YES,ALL
"(none)","そっち","over there",YES,YES,YES,ALL
"外","そと","Outside",YES,YES,YES,ALL
"(none)","その","That",YES,YES,YES,ALL
"(none)","そば","near, beside",YES,YES,YES,ALL
"空","そら","Sky",YES,YES,YES,ALL
"(none)","それ","that",YES,YES,YES,ALL
"(none)","それから","after that",YES,YES,YES,ALL
"(none)","それでは","in that situation",YES,YES,YES,ALL
"大学","だいがく","university",YES,YES,YES,ALL
"大使館","たいしかん","embassy",YES,YES,YES,ALL
"大丈夫","だいじょうぶ","all right",YES,YES,YES,ALL
"大好き","だいすき","to be very likeable",YES,YES,YES,ALL
"大切","たいせつ","important",YES,YES,YES,ALL
"台所","だいどころ","kitchen",YES,YES,YES,ALL
"(none)","たいへん","very",YES,YES,YES,ALL
"(none)","たいへん","difficult situation",YES,YES,YES,ALL
"高い","たかい","tall, expensive",YES,YES,YES,ALL
"(none)","たくさん","many",YES,YES,YES,ALL
"(none)","タクシー","taxi",YES,YES,YES,ALL
"出す","だす","to put out",YES,YES,YES,ALL
"立つ","たつ","to stand",YES,YES,YES,ALL
"(none)","たて","length,height",YES,YES,YES,ALL
"建物","たてもの","building",YES,YES,YES,ALL
"楽しい","たのしい","enjoyable",YES,YES,YES,ALL
"頼む","たのむ","to ask",YES,YES,YES,ALL
"(none)","たばこ","tobacco,cigarettes",YES,YES,YES,ALL
"(none)","たぶん","probably",YES,YES,YES,ALL
"食べ物","たべもの","food",YES,YES,YES,ALL
"食べる","たべる","to eat",YES,YES,YES,ALL
"卵","たまご","egg",YES,YES,YES,ALL
"誰","だれ","who",YES,YES,YES,ALL
"誰","だれか","somebody",YES,YES,YES,ALL
"誕生日","たんじょうび","birthday",YES,YES,YES,ALL
"(none)","だんだん","gradually",YES,YES,YES,ALL
"小さい","ちいさい","little",YES,YES,YES,ALL
"小さな","ちいさな","little",YES,YES,YES,ALL
"近い","ちかい","near",YES,YES,YES,ALL
"違う","ちがう","to differ",YES,YES,YES,ALL
"近く","ちかく","near",YES,YES,YES,ALL
"地下鉄","ちかてつ","underground train",YES,YES,YES,ALL
"地図","ちず","map",YES,YES,YES,ALL
"茶色","ちゃいろ","brown",YES,YES,YES,ALL
"(none)","ちゃわん","rice bowl",YES,YES,YES,ALL
"(none)","ちょうど","exactly",YES,YES,YES,ALL
"(none)","ちょっと","somewhat",YES,YES,YES,ALL
"一日","ついたち","first of month",YES,YES,YES,ALL
"使う","つかう","to use",YES,YES,YES,ALL
"疲れる","つかれる","to get tired",YES,YES,YES,ALL
"次","つぎ","next",YES,YES,YES,ALL
"着く","つく","to arrive at",YES,YES,YES,ALL
"机","つくえ","desk",YES,YES,YES,ALL
"作る","つくる","to make",YES,YES,YES,ALL
"(none)","つける","to turn on",YES,YES,YES,ALL
"勤める","つとめる","to work for someone",YES,YES,YES,ALL
"(none)","つまらない","boring",YES,YES,YES,ALL
